source,target,source_title,target_title,target_author,target_year,weight,edge_type,full_citation
excited_delirium_main,Sztajnkrycer_2005,Excited Delirium (Main Article),"Cocaine, excited delirium and sudden unexpected death",Sztajnkrycer MD,2005,1,citation,"Sztajnkrycer MD, Baezz AA. Cocaine, excited delirium and sudden unexpected death. Emerg Med Serv . 2005; 34(4):77-81."
excited_delirium_main,Karch_1986,Excited Delirium (Main Article),Myocardial contraction bands revisited,Karch SB,1986,1,citation,"Karch SB, Billingham ME. Myocardial contraction bands revisited. Hum Pathol . 1986; 17:9-13."
excited_delirium_main,Levine_2006,Excited Delirium (Main Article),Cardiac monitoring of subjects exposed to the Taser,Levine S,2006,1,citation,"Levine S, Sloane, C, Chan T, et al. Cardiac monitoring of subjects exposed to the Taser. Prehosp Emerg Care . 2006; 10(1):130."
excited_delirium_main,Barnes_2006,Excited Delirium (Main Article),Cardiac effects of the Taser conducted energy weapon,Barnes DG,2006,1,citation,"Barnes DG, Winslow III JE, Alson RL, et al. Cardiac effects of the Taser conducted energy weapon. Ann Emerg Med . 2006; 48(4 Supp 1):S102."
excited_delirium_main,Chan_1997,Excited Delirium (Main Article),Restraint position and positional asphyxia,Chan TC,1997,1,citation,"Chan TC, Vilke GM, Neuman T, et al. Restraint position and positional asphyxia. Ann Emer Med. 1997; 30(5):578-86."
excited_delirium_main,Chan_2004,Excited Delirium (Main Article),Weight Force During Prone Restraint and Respiratory Function,Chan TC,2004,1,citation,"Chan TC, Neuman T, Clausen J, et al. Weight Force During Prone Restraint and Respiratory Function. Am J Forensic Med Pathol . 2004; 25(3):185-9."
excited_delirium_main,Glatter_2004,Excited Delirium (Main Article),"Positional Asphyxia: inadequate oxygen, or inadequate theory",Glatter K,2004,1,citation,"Glatter K, Karch SB. Positional Asphyxia: inadequate oxygen, or inadequate theory. Forensic Sci Int. 2004; 141(2-3):201-2."
excited_delirium_main,Karch_2005,Excited Delirium (Main Article),Cocaine cardiovascular toxicity,Karch S,2005,1,citation,Karch S. Cocaine cardiovascular toxicity. South Med J . 2005; 98(8):794-9.
excited_delirium_main,Bricker_1991,Excited Delirium (Main Article),Left ventricular hypertrophy associated with chronic cocaine abuse,Bricker ME,1991,1,citation,"Bricker ME, Willard JE, Eichhorn EJ, et al. Left ventricular hypertrophy associated with chronic cocaine abuse. Circulation . 1991; 84:1130-5."
excited_delirium_main,Karch_1995,Excited Delirium (Main Article),Myocardial hypertrophy and coronary artery disease in male cocaine users,Karch S,1995,1,citation,"Karch S, Green G, Young S. Myocardial hypertrophy and coronary artery disease in male cocaine users. J Forensic Sci . 1995; 40:591-6."
