id,label,title,author,year,type,in_degree,out_degree,citation_count
excited_delirium_main,Excited Delirium (Main),Excited Delirium: Main Article,Takeuchi et al.,Unknown,main_paper,0,51,51
Sztajnkrycer_2005,Sztajnkrycer MD (2005),"Cocaine, excited delirium and sudden unexpected death",Sztajnkrycer MD,2005,cited_paper,3,0,3
Karch_1986,Karch SB (1986),Myocardial contraction bands revisited,Karch SB,1986,cited_paper,1,0,1
Levine_2006,Levine S (2006),Cardiac monitoring of subjects exposed to the Taser,Levine S,2006,cited_paper,1,0,1
Barnes_2006,Barnes DG (2006),Cardiac effects of the Taser conducted energy weapon,Barnes DG,2006,cited_paper,1,0,1
Chan_1997,Chan TC (1997),Restraint position and positional asphyxia,Chan TC,1997,cited_paper,2,0,2
Chan_2004,Chan TC (2004),Weight Force During Prone Restraint and Respiratory Function,Chan TC,2004,cited_paper,2,0,2
Glatter_2004,Glatter K (2004),"Positional Asphyxia: inadequate oxygen, or inadequate theory",Glatter K,2004,cited_paper,1,0,1
Karch_2005,Karch S (2005),Cocaine cardiovascular toxicity,Karch S,2005,cited_paper,1,0,1
Bricker_1991,Bricker ME (1991),Left ventricular hypertrophy associated with chronic cocaine abuse,Bricker ME,1991,cited_paper,1,0,1
Karch_1995,Karch S (1995),Myocardial hypertrophy and coronary artery disease in male cocaine users,Karch S,1995,cited_paper,1,0,1
Besse_1994,Besse S (1994),Myocardial effects of acute and chronic cocaine treatment,Besse S,1994,cited_paper,1,0,1
Nassogne_1998,Nassogne MC (1998),Selective direct toxicity of cocaine on fetal mouse neurons: teratogenic implications on neurite and...,Nassogne MC,1998,cited_paper,1,0,1
Seitz_2007,Seitz DP (2007),Antipsychotics in the treatment of delirium: a systematic review,Seitz DP,2007,cited_paper,1,0,1
Strote_2006,Strote J (2006),Taser use in restraint-related deaths,Strote J,2006,cited_paper,2,0,2
Nobay_2004,Nobay F (2004),Dresden GM,Nobay F,2004,cited_paper,1,0,1
Bienik_1998,Bienik SA (1998),A double-blind study of lorazepam versus the combination of haloperidol and lorazepam in managing ag...,Bienik SA,1998,cited_paper,1,0,1
Green_1998,Green SM (1998),"Intramuscular Ketamine for pediatric sedation in the emergency department: safety profile in 1,022 c...",Green SM,1998,cited_paper,1,0,1
Reich_1989,Reich DL (1989),Ketamine: an update on the first twenty five- years of clinical experience,Reich DL,1989,cited_paper,1,0,1
Strayer_2008,Strayer RJ (2008),Adverse events associated with ketamine for procedural sedation in adults,Strayer RJ,2008,cited_paper,1,0,1
48._2007,48. (2007),"Melamed E, Oron Y, Ben-Avraham R, et al",48.,2007,cited_paper,1,0,1
Bourgoin_2003,Bourgoin A (2003),Safety of sedation with ketamine in severe head injury patients: comparison with sufentanil,Bourgoin A,2003,cited_paper,1,0,1
Hanouz_2004,Hanouz J (2004),The ionotropic and lusitropic effects of ketamine in isolated human atrial myocardium: the effect of...,Hanouz J,2004,cited_paper,1,0,1
Allam_2001,Allam S (2001),Cocaine-excited delirium and severe acidosis,Allam S,2001,cited_paper,1,0,1
Podranski_2005,Podranski T (2005),Compartmental pharmacokinetics of dantrolene in adults: do malignant hyperthermia association dosing...,Podranski T,2005,cited_paper,1,0,1
Vilke_2008,Vilke GM (2008),Twelve-lead electrocardiogram monitoring of subjects before and after voluntary exposure to the Tase...,Vilke GM,2008,cited_paper,1,0,1
Karch_1996,Karch SB (1996),Cardiac arrest in cocaine users,Karch SB,1996,cited_paper,1,0,1
Wetli_1996,Wetli CV (1996),Cocaine-associated agitated delirium and neuroleptic malignant syndrome,Wetli CV,1996,cited_paper,2,0,2
Mash_2003,Mash DC (2003),Cocaine abusers have an overexpression of α-synuclein in dopamine neurons,Mash DC,2003,cited_paper,1,0,1
Wetli_1985,Wetli CV (1985),Cocaine-induced psychosis and sudden death in recreational cocaine users,Wetli CV,1985,cited_paper,3,0,3
4._1997,4. (1997),"Ruttenber AJ, Lawler-Heavner J, Yin M, et al",4.,1997,cited_paper,1,0,1
Samuel_2009,Samuel E (2009),Excited Delirium: Consideration of selected medical and psychiatric issues,Samuel E,2009,cited_paper,2,0,2
Stratton_2001,Stratton SJ (2001),Factors associated with sudden death of individuals requiring restraint for excited delirium,Stratton SJ,2001,cited_paper,2,0,2
Fink_1999,Fink M (1999),Delirious mania,Fink M,1999,cited_paper,1,0,1
Morrison_2001,Morrison A (2001),Death of a psychiatric patient during physical restraint,Morrison A,2001,cited_paper,2,0,2
Pollanen_1998,Pollanen MS (1998),Unexpected death related to restraint for excited delirium: a retrospective study of deaths in polic...,Pollanen MS,1998,cited_paper,3,0,3
O’Halloran_1993,O’Halloran (1993),Restraint asphyxiation in excited delirium,O’Halloran,1993,cited_paper,1,0,1
Ruttenber_1999,Ruttenber AJ (1999),Cocaine-associated rhabdomyolysis and excited delirium: different stages of the same syndrome,Ruttenber AJ,1999,cited_paper,3,0,3
Staley_1997,Staley JK (1997),Radioligand binding and immunoautoradiographic evidence for lack of toxicity to dopaminergic nerve t...,Staley JK,1997,cited_paper,1,0,1
